INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-10-0500-2018-b42,CA0100500,1/1/2018,3:55,FRESNO,FRESNO,CA,93704,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-10-0500-2018-c1b,CA0100500,11/12/2018,11:38,FRESNO,FRESNO,CA,93720,FALSE,FALSE,FALSE,TRUE,welfare_check,,1,1,1
URSUS-10-0500-2018-c63,CA0100500,10/18/2018,1:58,FRESNO,FRESNO,CA,93720,FALSE,FALSE,TRUE,TRUE,welfare_check,,1,1,1
URSUS-10-0500-2018-dca,CA0100500,7/20/2018,21:45,FRESNO,FRESNO,CA,93728,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,1
URSUS-10-1000-2018-818,CA0101000,5/31/2018,18:55,ORANGE COVE,FRESNO,CA,93646,FALSE,FALSE,FALSE,TRUE,civil_disorder,,1,1,1
URSUS-11-0000-2018-a64,CA0110000,7/23/2018,18:44,ORLAND,GLENN,CA,95963,FALSE,FALSE,FALSE,FALSE,in_progress,,2,1,1
URSUS-12-0300-2018-510,CA0120300,9/14/2018,11:00,EUREKA,HUMBOLDT,CA,95503,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-12-0300-2018-e8a,CA0120300,12/20/2018,21:15,EUREKA,HUMBOLDT,CA,95501,FALSE,FALSE,TRUE,TRUE,consensual,,1,1,1
URSUS-13-0200-2018-e58,CA0130200,11/9/2018,13:43,CALEXICO,IMPERIAL,CA,92231,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-15-0000-2018-758,CA0150000,12/12/2018,19:32,BAKERSFIELD,KERN,CA,93308,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,2,1
